variable_name,variable_label,measure,original_type,value_labels_json,missing_ranges_json,missing_user_values_json
g01_2,Tax/spend: Conservative Party,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_3,Tax/spend: Labour Party,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_4,Tax/spend: Liberal Democrats,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_5,Tax/spend: UKIP,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_6,Tax/spend: Green Party,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_7,Tax/spend: SNP,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_8,Tax/spend: Plaid Cymru,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
h01,H1 Thinking now about the environment - what in your opinion should have priorit,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""0.0"": ""0 Economic growth should have priority"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Protecting the environment should have priority""}",[],[]
i01_1,Like leader: Sturgeon,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_2,Like leader: Wood,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_3,Like leader: Corbyn,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_4,Like leader: May,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_5,Like leader: Farron,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_6,Like leader: Lucas,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
i01_7,Like leader: Nuttall,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Haven't heard of"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Strongly dislike"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Strongly like""}",[],[]
j05,Too many immigrants let into this country,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Yes, too many"", ""2.0"": ""No, not too many""}",[],[]
j06,Strength of opinion about immigrants,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Very strongly"", ""2.0"": ""Fairly strongly"", ""3.0"": ""Not very strongly""}",[],[]
j01,J1 Do you think immigration is good or bad for Britain's economy?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""1 Bad for economy"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7 Good for economy""}",[],[]
j08,Better/worse: NHS,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Got a lot worse"", ""2.0"": ""Got a little worse"", ""3.0"": ""Stayed the same"", ""4.0"": ""Got a little better"", ""5.0"": ""Got a lot better""}",[],[]
j10,Importance of putting money into NHS,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Very important that it should be done"", ""2.0"": ""Fairly important that it should be done"", ""3.0"": ""It doesn't matter either way"", ""4.0"": ""Fairly important that it should not be done"", ""5.0"": ""Very important that it should not be done""}",[],[]
j11,Higher/lower: cost of living,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don`t know"", ""1.0"": ""Got a lot worse"", ""2.0"": ""Got a little worse"", ""3.0"": ""Stayed the same"", ""4.0"": ""Got a little better"", ""5.0"": ""Got a lot better""}",[],[]
