council,saving_ref,description,service_area,amount_000_2026_27,amount_000_full_mtfs,f1_new_vs_carried,f2_type,f3_statutory_vs_discretionary,f4_shows_in_ra,f5_delivery_rag,reform_attributable,notes
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-163.2,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-173.6,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-216.6,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-747.4,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-1435.9,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-2041.7,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC redesign - removal of undeliverable saving,Adult social care,-2521.5,,carried_forward,cost_avoidance,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,Children's in-house fostering,Children's social care,1217.8,,new,cost_avoidance,statutory,tbd,,yes,
Kent,,Children's in-house fostering (disability),Children's social care,729.8,,new,cost_avoidance,statutory,tbd,,yes,
Kent,,Waste,Environmental & regulatory,392.1,,new,cost_avoidance,discretionary,tbd,,yes,
Kent,,Waste,Environmental & regulatory,-0.0,,new,cost_avoidance,discretionary,tbd,,yes,
Kent,,Review of embedded staff,Central services,55.2,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Special school estate,Children's social care,704.4,,new,cashable,statutory,tbd,,yes,
Kent,,Review of embedded staff,Children's social care,175.1,,new,cashable,statutory,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,21.0,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,21.0,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,128.4,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,8.5,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,2.6,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,2.4,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Review of embedded staff,Central services,1.8,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,Spans and layers (senior-management delayering),Central services,1500.0,,new,cashable,discretionary,tbd,,yes,DOGE: senior-management delayering (org-design).
Kent,,Review of embedded staff,Central services,468.0,,new,cashable,discretionary,tbd,,yes,DOGE: staff consolidation.
Kent,,ASC - Mental Health,Adult social care,5900.0,,new,cashable,statutory,tbd,,yes,
Kent,,Adult Social Care,Adult social care,2000.0,,new,cashable,statutory,tbd,,yes,
Kent,,Domestic Abuse,Adult social care,295.0,,new,cashable,statutory,tbd,,yes,
Kent,,Adult Social Care,Adult social care,178.1,,new,cashable,statutory,tbd,,yes,
Kent,,ASC equipment contract - removal of undeliverable saving,Adult social care,-590.0,,carried_forward,cashable,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC care & support in home - removal of undeliverable saving,Adult social care,-3818.8,,carried_forward,cashable,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,ASC supported living - removal of undeliverable saving,Adult social care,-6046.0,,carried_forward,cashable,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,Home to School Transport - SEN,Highways & transport,1553.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Children's Prevention Grant,Children's social care,1500.0,,new,cashable,statutory,tbd,,yes,
Kent,,Family Hubs,Children's social care,1500.0,,new,cashable,statutory,tbd,,yes,
Kent,,Family Hubs,Children's social care,1000.0,,new,cashable,statutory,tbd,,yes,
Kent,,Special Educational Needs,Education,403.6,,new,cashable,statutory,tbd,,yes,
Kent,,Children's Other Services,Children's social care,400.0,,new,cashable,statutory,tbd,,yes,
Kent,,Children's Social Care,Children's social care,400.0,,new,cashable,statutory,tbd,,yes,
Kent,,Schools' Services,Education,223.2,,new,cashable,statutory,tbd,,yes,
Kent,,Virtual School Kent,Children's social care,200.0,,new,cashable,statutory,tbd,,yes,
Kent,,Community Learning & Skills,Cultural & related,97.8,,new,cashable,discretionary,tbd,,yes,
Kent,,SEN Contract Review,Education,-0.0,,new,cashable,statutory,tbd,,yes,
Kent,,GET staffing,Central services,380.0,,new,cashable,discretionary,tbd,,yes,DOGE: staffing reduction.
Kent,,Waste,Environmental & regulatory,343.2,,new,cashable,discretionary,tbd,,yes,
Kent,,Waste,Environmental & regulatory,250.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Highways on-street EV charging,Highways & transport,56.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Environmental Management,Environmental & regulatory,-0.0,,new,cashable,discretionary,tbd,,yes,
Kent,,"Libraries, Registration & Archives",Cultural & related,-0.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Legal Services,Central services,487.6,,new,cashable,discretionary,tbd,,yes,
Kent,,Legal Services,Central services,286.1,,new,cashable,discretionary,tbd,,yes,
Kent,,Legal Services (senior reorg),Central services,195.0,,new,cashable,discretionary,tbd,,yes,DOGE: senior-management reorganisation.
Kent,,"Strategy, Policy & Corporate Assurance (delete vacant posts)",Central services,161.0,,new,cashable,discretionary,tbd,,yes,DOGE: deletion of vacant post(s).
Kent,,Finance,Central services,105.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Corporate Landlord - rates,Central services,70.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Corporate Landlord,Central services,52.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Corporate Landlord - removal of office plants,Central services,40.0,,new,cashable,discretionary,tbd,,yes,DOGE: office running-cost trim (plants).
Kent,,Corporate Landlord - drinking water provision,Central services,30.0,,new,cashable,discretionary,tbd,,yes,DOGE: office running-cost trim (water).
Kent,,Legal Services,Central services,27.6,,new,cashable,discretionary,tbd,,yes,
Kent,,KCC Estate - specialist assets,Central services,26.2,,new,cashable,discretionary,tbd,,yes,
Kent,,Contact Centre,Central services,290.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Human Resources (senior reorg),Central services,165.0,,new,cashable,discretionary,tbd,,yes,DOGE: senior-management reorganisation.
Kent,,Governance & Democracy,Central services,75.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Commercial & Procurement,Central services,35.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Governance & Democracy,Central services,6.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Governance & Democracy,Central services,5.0,,new,cashable,discretionary,tbd,,yes,
Kent,,ASC - Client Benefit Uplift,Adult social care,5808.0,,new,income,statutory,tbd,,partial,National benefit upratings.
Kent,,Adult Social Care income,Adult social care,2192.2,,new,income,statutory,tbd,,partial,
Kent,,Children's Social Care income,Children's social care,1150.0,,new,income,statutory,tbd,,partial,
Kent,,Home to School Transport income,Highways & transport,1000.0,,new,income,discretionary,tbd,,partial,
Kent,,Looked after children income,Children's social care,750.0,,new,income,statutory,tbd,,partial,
Kent,,Kent 16+ Travel Saver,Highways & transport,124.9,,new,income,discretionary,tbd,,partial,
Kent,,Highways Road Closures,Highways & transport,950.0,,new,income,discretionary,tbd,,partial,
Kent,,Kent Travel Saver,Highways & transport,479.7,,new,income,discretionary,tbd,,partial,
Kent,,"Libraries, Registration & Archives",Cultural & related,200.0,,new,income,discretionary,tbd,,partial,
Kent,,Trading Standards,Environmental & regulatory,200.0,,new,income,discretionary,tbd,,partial,
Kent,,Highways income,Highways & transport,65.0,,new,income,discretionary,tbd,,partial,
Kent,,"Libraries, Registration & Archives",Cultural & related,50.0,,new,income,discretionary,tbd,,partial,
Kent,,Community Protection,Environmental & regulatory,36.1,,new,income,discretionary,tbd,,partial,
Kent,,Coroners,Environmental & regulatory,24.8,,new,income,discretionary,tbd,,partial,
Kent,,Highways on-street EV charging,Highways & transport,18.0,,new,income,discretionary,tbd,,partial,
Kent,,Country Parks,Cultural & related,14.8,,new,income,discretionary,tbd,,partial,
Kent,,Community Protection,Environmental & regulatory,14.3,,new,income,discretionary,tbd,,partial,
Kent,,Trading Standards,Environmental & regulatory,1.8,,new,income,discretionary,tbd,,partial,
Kent,,Traffic Management,Highways & transport,-0.0,,new,income,discretionary,tbd,,partial,
Kent,,Community Protection - Port Health,Environmental & regulatory,-0.0,,new,income,discretionary,tbd,,partial,
Kent,,Regeneration,Planning & development,-0.0,,new,income,discretionary,tbd,,partial,
Kent,,Waste (adverse income adj),Environmental & regulatory,-1636.8,,new,income,discretionary,tbd,,partial,Positive = income loss/adverse adjustment.
Kent,,Income return from companies,Central services,500.0,,new,income,discretionary,tbd,,partial,
Kent,,Community Based Preventative Services,Adult social care,862.9,,new,cashable,statutory,tbd,,yes,
Kent,,Mental Health - removal of undeliverable saving,Adult social care,-250.0,,new,cashable,statutory,tbd,,yes,
Kent,,ASC Housing Related Support - removal of undeliverable saving,Adult social care,-294.0,,carried_forward,cashable,statutory,tbd,,partial,Removal of prior undeliverable saving.
Kent,,Home to School/College SEN Transport 16+,Highways & transport,1800.0,,new,cashable,discretionary,tbd,,yes,Policy: SEN transport reduction.
Kent,,Home to College SEN Transport Post-19,Highways & transport,900.0,,new,cashable,discretionary,tbd,,yes,Policy: SEN transport reduction.
Kent,,Children's Residential Care,Children's social care,640.0,,new,cashable,statutory,tbd,,yes,
Kent,,Services for Schools,Education,545.6,,new,cashable,statutory,tbd,,yes,
Kent,,The Education People (TEP),Education,383.0,,new,cashable,statutory,tbd,,yes,
Kent,,SEN Home to School Transport,Highways & transport,300.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Home to School Transport - Kent 16+ Travel Saver,Highways & transport,273.8,,new,cashable,discretionary,tbd,,yes,
Kent,,Education,Education,46.7,,new,cashable,statutory,tbd,,yes,
Kent,,Highways,Highways & transport,600.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Waste - Inter Authority Agreement payments,Environmental & regulatory,310.4,,new,cashable,discretionary,tbd,,yes,
Kent,,Kent Travel Saver,Highways & transport,290.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Country Parks,Cultural & related,130.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Kent Music School,Cultural & related,57.0,,new,cashable,discretionary,tbd,,yes,Cut to music service.
Kent,,Regeneration & Economic Development,Planning & development,35.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Property Related Services to Schools,Education,2048.1,,new,cashable,statutory,tbd,,yes,
Kent,,Corporate Landlord - Strategic Estate,Central services,526.4,,new,cashable,discretionary,tbd,,yes,
Kent,,Libraries Corporate Landlord,Central services,250.0,,new,cashable,discretionary,tbd,,yes,
Kent,,KCC Estate - Community Assets,Central services,91.5,,new,cashable,discretionary,tbd,,yes,
Kent,,KCC Estate - office assets,Central services,22.1,,new,cashable,discretionary,tbd,,yes,
Kent,,Future Savings under Development (unallocated),Central services,-0.0,,new,cashable,discretionary,tbd,,yes,
Kent,,Public Health - Healthy Lifestyles,Public health,406.8,,new,cashable,statutory,tbd,,yes,
Kent,,Public Health income (adverse adj),Public health,-243.3,,new,income,statutory,tbd,,partial,Positive = income loss/adverse adjustment.
Lancashire,AHWB2627001,Prevention and Early Intervention - reduce need for formal adult social care,Adult social care,500.0,10300.0,carried_forward,cost_avoidance,statutory,tbd,,partial,Pre-existing MTFS; demand reduction.
Lancashire,AHWB2627002,More efficient use of contracts - new commissioning approach,Adult social care,5200.0,10430.0,carried_forward,cashable,statutory,tbd,,partial,Largest Adult line; procurement efficiency.
Lancashire,AHWB2627003,Helping people leave hospital - redesign reablement/short-term,Adult social care,4300.0,8400.0,carried_forward,cost_avoidance,statutory,tbd,,partial,Discharge/less bed-based care.
Lancashire,AHWB2627004,More efficient use of contracts - VFM,Adult social care,3250.0,3250.0,carried_forward,cashable,statutory,tbd,,partial,Contract review/VFM.
Lancashire,AHWB2627005,Prevention - reinvest £3m Public Health Grant savings (one-off),Public health,3000.0,0.0,carried_forward,cashable,statutory,tbd,,partial,DOGE-flag: ringfenced PHG reallocation; one-off.
Lancashire,AHWB2627006,Ensuring care is appropriately charged for,Adult social care,1956.0,2656.0,carried_forward,income,statutory,tbd,,partial,Client charging income.
Lancashire,AHWB2627007/PPH005,Workforce roles & resilience - cut agency reliance (ASC & PH),Adult social care,700.0,1300.0,carried_forward,cashable,statutory,tbd,,partial,DOGE-flag: workforce/agency reduction.
Lancashire,AHWB2627008,Resource reallocation - review ASC grant funding application,Adult social care,3000.0,3000.0,carried_forward,unclear,statutory,tbd,,partial,Grant reallocation.
Lancashire,AHWB2627009,Public Health Grant demand management,Public health,1202.0,1793.0,carried_forward,cashable,statutory,tbd,,partial,DOGE-flag: PHG recalibration.
Lancashire,AHWB2627010,Public Health Grant - commissioned services VFM,Public health,0.0,1000.0,carried_forward,cashable,statutory,tbd,,partial,£0 in 2026/27.
Lancashire,AHWB2627011,Public Health Grant - cost pressure management,Public health,650.0,1475.0,carried_forward,cashable,statutory,tbd,,partial,DOGE-flag: PHG.
Lancashire,AHWB2627012,Public Health Grant - invest reserves (one-off £5m to PHG reserve),Public health,5000.0,0.0,carried_forward,cashable,statutory,tbd,,partial,DOGE-flag: one-off ringfenced PHG swept to reserve.
Lancashire,Adjustment,Eliminate PHG double-count across service areas,Adult social care,-3497.0,-3868.0,carried_forward,unclear,statutory,tbd,,partial,Negative add-back; Adult block total -£25.261m.
Lancashire,ECS2627001,Improve in-house children's home agency staffing sourcing,Children's social care,50.0,200.0,new,cashable,statutory,tbd,,yes,Agency efficiency.
Lancashire,ECS2627003,Seek district housing contributions for low-priority supported accommodation,Children's social care,62.0,125.0,new,income,statutory,tbd,,yes,Cost-shift to districts.
Lancashire,ECS2627004,Target block-contract dispersed accommodation vs agency placements,Children's social care,300.0,500.0,new,cashable,statutory,tbd,,yes,Placement cost reduction.
Lancashire,ECS2627005,Review highest-cost care-leaver (18+) supported accommodation,Children's social care,88.0,88.0,new,cashable,statutory,tbd,,yes,Placement review.
Lancashire,ECS2627007,Homeless Families Service - reduce hours where duty lies with districts,Children's social care,97.0,97.0,new,cashable,statutory,tbd,,yes,Service reduction (district duty).
Lancashire,ECS2627008,Fixed hourly rates for children's home care commissioning,Children's social care,0.0,512.0,new,cashable,statutory,tbd,,yes,£0 in 2026/27.
Lancashire,ECS2627009,OCC provider portal - digital self-service/invoicing,Children's social care,400.0,400.0,new,cashable,statutory,tbd,,yes,Automation.
Lancashire,ECS2627010,SEND brokerage team - commission INMSS places cost-effectively,Education,450.0,450.0,new,cashable,statutory,tbd,,yes,SEND placement brokerage.
Lancashire,ECS2627011,CareCubed - SEND special-school fee management tool,Education,82.0,133.0,new,cashable,statutory,tbd,,yes,High Needs Block.
Lancashire,ECS2627015,Reduce/remove 'Community Offer' early-help support,Children's social care,0.0,1431.0,new,cashable,statutory,tbd,,yes,Early-help reduction; £0 in 2026/27.
Lancashire,ECS2627016,Consolidate Family Centres into Family Hubs,Children's social care,0.0,314.0,new,cashable,statutory,tbd,,yes,Estate consolidation; £0 in 2026/27.
Lancashire,ECS2627017,Early Years Top Slice - top-slice 0.75% of early-years block,Education,1703.0,1703.0,new,cashable,statutory,tbd,,yes,Cost shift to DSG.
Lancashire,ECS2627018,Fund school-improvement adviser from DSG de-delegation reserves,Education,125.0,125.0,new,cashable,statutory,tbd,,yes,Cost shift to DSG.
Lancashire,ECS2627019,Education Improvement - move to income-generating model,Education,438.0,438.0,new,income,statutory,tbd,,yes,Traded income.
Lancashire,ECS2627021,Expand in-house residential children's homes,Children's social care,0.0,2000.0,new,cost_avoidance,statutory,tbd,,yes,£0 in 2026/27.
Lancashire,ECS2627022,Reduce schools' premature-retirement budget to actuals,Education,500.0,500.0,new,cashable,statutory,tbd,,yes,Budget realignment.
Lancashire,ECS2627023,Reduce Practice Development Managers; upskill senior SWs,Children's social care,47.0,188.0,new,cashable,statutory,tbd,,yes,DOGE-flag: management-post reduction.
Lancashire,ECS2627026,Use grant to maintain multi-agency CIN/CP team model,Children's social care,2000.0,2000.0,new,cashable,statutory,tbd,,yes,Grant substitution.
Lancashire,Place-ServiceReview,"Place service review/redesign - new operating models across Highways, Growth & Property, Environment, Communications & Engagement",Highways & transport,1078.0,7235.0,new,cashable,discretionary,tbd,,yes,DOGE-flag: incl. Communications & Engagement (comms/PR) restructure. Cross-directorate.
Lancashire,Place-HighwayMaint,Reduce discretionary travel & operational highway/drainage maintenance,Highways & transport,1118.0,1732.0,new,cashable,discretionary,tbd,,yes,Operational maintenance cut.
Lancashire,Place-Fees,"Fees/charges/income - highway damage recovery, regulatory, waste, catering, new pay-and-display parking",Highways & transport,1170.0,2874.0,new,income,discretionary,tbd,,yes,Income incl. new parking charges.
Lancashire,Place-FinMgmt,Non-staffing budgets; standby/callout review; PHG into road-safety,Highways & transport,972.0,1434.0,new,cashable,discretionary,tbd,,yes,DOGE-flag: PHG funds road-safety spend.
Lancashire,GHT010,Winter maintenance - lower gritting trigger from +0.5C to 0C,Highways & transport,100.0,100.0,new,cashable,discretionary,tbd,,yes,Service-level reduction (gritting).
Lancashire,Place-Waste,"Waste operations/income - anaerobic digestion capacity, eligibility controls",Environmental & regulatory,0.0,4300.0,new,cashable,discretionary,tbd,,yes,£0 in 2026/27.
Lancashire,Place-Property,"Property & FM efficiencies - estate review, energy cuts, close low-use offices",Central services,362.0,1932.0,new,cashable,discretionary,tbd,,yes,DOGE-flag: property/office closures.
Lancashire,Resources-Redesign,"Resources service redesign - People, Digital, Finance (part PHG), Legal & Governance (cut external legal spend), BI, Records, Exec support, Customer AI",Central services,1598.0,3821.0,new,cashable,discretionary,tbd,,yes,"DOGE-flag: back-office/senior-support redesign, external legal (consultancy) cut, AI."
Lancashire,Resources-Income,Income - teaching agency & new Law & Governance charges,Central services,382.0,642.0,new,income,discretionary,tbd,,yes,Traded income.
Lancashire,Resources-Tech,"Technology savings - reduce legacy infra/apps, cloud, extend laptop life",Central services,731.0,2101.0,new,cashable,discretionary,tbd,,yes,DOGE-flag: IT rationalisation.
Lancashire,FC004/P005,Budget adjustments - salary-sacrifice savings (£1m) & reduce insurance budget (£1.5m),Central services,2500.0,2500.0,new,cashable,discretionary,tbd,,yes,Central/technical adjustment.
Lancashire,2627CORP1,Corporate efficiency - 1% across all supplies & services budgets,Central services,1700.0,1700.0,new,cashable,discretionary,tbd,,yes,DOGE-flag: flat 1% top-down supplies cut.
Lincolnshire,AppB-001,ASC Adult Frailty - TEPAC demand reduction,Adult social care,3.8,,unclear,cost_avoidance,statutory,tbd,,partial,
Lincolnshire,AppB-002,ASC efficiency target share,Adult social care,12.3,,unclear,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-003,ASC digital transformation (TEC),Adult social care,53.0,,carried_forward,cashable,statutory,tbd,,no,
Lincolnshire,AppB-004,ASC direct payment client contributions,Adult social care,79.3,,unclear,income,statutory,tbd,,partial,
Lincolnshire,AppB-005,ASC gross payment model efficiency,Adult social care,195.8,,carried_forward,cashable,statutory,tbd,,partial,
Lincolnshire,AppB-006,ASC budget summit: operational efficiencies,Adult social care,745.0,,new,cashable,statutory,tbd,,yes,Vacant posts/underused budgets (footnote).
Lincolnshire,AppB-007,ASC budget summit: strategic commissioning review,Adult social care,823.0,,new,cashable,statutory,tbd,,yes,
Lincolnshire,AppB-008,ASC budget summit: income/full cost recovery,Adult social care,20.0,,new,income,statutory,tbd,,yes,
