ons,la,ra_class,treatment_group,reform_control,govt_type,control_quality,Adult social care,Central services,Children's social care,Council tax requirement,Cultural & related,Education,Environmental & regulatory,Fire & rescue,Highways & transport,Housing (non-HRA),Net current expenditure,Other services,Planning & development,Police,Public health,Revenue expenditure,TOTAL service expenditure
E06000018,Nottingham,UA,control_candidate,none,unitary,same_type_non_reform,170098.0,23480.0,131499.0,168777.0,15966.0,188530.0,44710.0,0.0,53779.0,31254.0,837615.0,22747.0,7648.0,0.0,48028.0,755871.0,737739.0
E06000019,Herefordshire,UA,control_candidate,none,unitary,same_type_non_reform,101210.0,7522.0,66873.0,160569.0,3690.0,168631.0,11915.0,0.0,10057.0,6511.0,414386.0,2435.0,6394.0,0.0,12253.0,394355.0,397491.0
E06000020,Telford & Wrekin,UA,control_candidate,none,unitary,same_type_non_reform,106372.0,23945.0,63154.0,109548.0,9308.0,156000.0,25434.0,0.0,7153.0,6326.0,451777.0,-12.0,2967.0,0.0,16808.0,419681.0,417455.0
E06000021,Stoke-on-Trent,UA,control_candidate,none,unitary,same_type_non_reform,127837.0,14082.0,133533.0,123809.0,8417.0,144036.0,21362.0,0.0,15296.0,8389.0,569235.0,1685.0,2142.0,0.0,33124.0,574680.0,509903.0
E06000022,Bath & North East Somerset,UA,control_candidate,none,unitary,same_type_non_reform,85701.0,9612.0,49994.0,141216.0,-5519.0,111536.0,26295.0,0.0,-929.0,7312.0,334552.0,-3990.0,5573.0,0.0,12746.0,321743.0,298331.0
E06000023,Bristol,UA,control_candidate,none,unitary,same_type_non_reform,281964.0,22051.0,153136.0,316544.0,24946.0,323112.0,63313.0,0.0,-4901.0,36645.0,1050224.0,0.0,13832.0,0.0,50220.0,980647.0,964318.0
E06000024,North Somerset,UA,control_candidate,none,unitary,same_type_non_reform,110538.0,13649.0,59491.0,173790.0,6921.0,100992.0,23670.0,0.0,10702.0,7730.0,395263.0,748.0,2440.0,0.0,13701.0,373557.0,350582.0
E06000026,Plymouth,UA,control_candidate,none,unitary,same_type_non_reform,132209.0,18159.0,99143.0,156001.0,17019.0,192299.0,24232.0,0.0,9030.0,11097.0,562472.0,0.0,-6491.0,0.0,22279.0,552265.0,518976.0
E06000027,Torbay,UA,control_candidate,none,unitary,same_type_non_reform,76020.0,19319.0,56882.0,101816.0,4885.0,90936.0,17256.0,0.0,8539.0,7490.0,341813.0,2183.0,9403.0,0.0,12995.0,311425.0,305908.0
E06000030,Swindon,UA,control_candidate,none,unitary,same_type_non_reform,113815.0,4658.0,90899.0,161754.0,5320.0,138258.0,21136.0,0.0,8123.0,10277.0,452591.0,0.0,3253.0,0.0,15666.0,403461.0,411405.0
E06000031,Peterborough,UA,control_candidate,none,unitary,same_type_non_reform,91377.0,7378.0,89274.0,118332.0,5427.0,178847.0,18814.0,0.0,3981.0,6616.0,468028.0,0.0,8014.0,0.0,16454.0,436863.0,426182.0
E06000032,Luton,UA,control_candidate,none,unitary,same_type_non_reform,97037.0,19506.0,76624.0,117001.0,7064.0,226696.0,27507.0,0.0,10839.0,20166.0,571049.0,6414.0,3724.0,0.0,21439.0,512544.0,517016.0
E06000033,Southend-on-Sea,UA,control_candidate,none,unitary,same_type_non_reform,79532.0,9833.0,57356.0,116229.0,10914.0,95581.0,27143.0,0.0,3929.0,10264.0,371809.0,5884.0,2094.0,0.0,12855.0,327173.0,315385.0
E06000034,Thurrock,UA,control_candidate,none,unitary,same_type_non_reform,73622.0,12522.0,63460.0,102225.0,6339.0,98507.0,21853.0,0.0,9306.0,16353.0,347374.0,0.0,-771.0,0.0,18297.0,305023.0,319488.0
E06000035,Medway Towns,UA,control_candidate,none,unitary,same_type_non_reform,122700.0,17369.0,84270.0,179726.0,21584.0,168155.0,38017.0,0.0,6798.0,11628.0,556280.0,0.0,6312.0,0.0,22686.0,513575.0,499519.0
E06000036,Bracknell Forest,UA,control_candidate,none,unitary,same_type_non_reform,61139.0,5367.0,34476.0,96271.0,4227.0,119552.0,17154.0,0.0,8035.0,4670.0,288305.0,0.0,2871.0,0.0,6166.0,256570.0,263657.0
E06000037,West Berkshire,UA,control_candidate,none,unitary,same_type_non_reform,90462.0,7423.0,45725.0,143144.0,5933.0,194306.0,28642.0,0.0,5273.0,6671.0,427140.0,0.0,3297.0,0.0,7636.0,365540.0,395368.0
E06000038,Reading,UA,control_candidate,none,unitary,same_type_non_reform,76468.0,10570.0,66621.0,134176.0,6015.0,165013.0,20919.0,0.0,4565.0,12755.0,415791.0,2362.0,1004.0,0.0,13693.0,371425.0,379985.0
E06000039,Slough,UA,control_candidate,none,unitary,same_type_non_reform,81228.0,10979.0,50686.0,91455.0,1210.0,120910.0,14827.0,0.0,459.0,9911.0,358845.0,0.0,1919.0,0.0,15418.0,304261.0,307547.0
E06000040,Windsor & Maidenhead,UA,control_candidate,none,unitary,same_type_non_reform,73465.0,3546.0,44713.0,112880.0,2943.0,100948.0,15364.0,0.0,3271.0,8862.0,284398.0,0.0,3014.0,0.0,6072.0,242483.0,262198.0
E06000041,Wokingham,UA,control_candidate,none,unitary,same_type_non_reform,80914.0,17229.0,43015.0,165391.0,-468.0,127382.0,18838.0,0.0,15715.0,3388.0,334988.0,0.0,4460.0,0.0,6863.0,309626.0,317336.0
E06000042,Milton Keynes,UA,control_candidate,none,unitary,same_type_non_reform,131935.0,15199.0,91131.0,202072.0,9878.0,197285.0,39415.0,0.0,1595.0,24979.0,592008.0,371.0,2125.0,0.0,15258.0,560014.0,529171.0
E06000043,Brighton & Hove,UA,control_candidate,none,unitary,same_type_non_reform,158818.0,10444.0,77422.0,210079.0,22969.0,293868.0,41505.0,0.0,-4294.0,38490.0,762097.0,1424.0,5979.0,0.0,29933.0,669123.0,676558.0
E06000044,Portsmouth,UA,control_candidate,none,unitary,same_type_non_reform,95598.0,7533.0,74586.0,112545.0,14902.0,147402.0,25574.0,0.0,14748.0,22047.0,465491.0,0.0,5546.0,0.0,25669.0,478228.0,433605.0
E06000045,Southampton,UA,control_candidate,none,unitary,same_type_non_reform,118204.0,12822.0,74482.0,135457.0,13503.0,246029.0,29237.0,0.0,9172.0,13265.0,594369.0,2660.0,10069.0,0.0,21107.0,570247.0,550550.0
E06000046,Isle of Wight,UA,control_candidate,none,unitary,same_type_non_reform,101508.0,10144.0,44095.0,130215.0,4997.0,116657.0,18512.0,0.0,14411.0,7048.0,366029.0,215.0,1933.0,0.0,10596.0,356060.0,330116.0
E06000047,Durham,UA,treated_minority,minority,unitary,,223605.0,28496.0,199745.0,332576.0,39174.0,445494.0,70172.0,0.0,19733.0,18308.0,1280411.0,32506.0,15176.0,0.0,67618.0,1218749.0,1160027.0
E06000049,Cheshire East,UA,control_candidate,none,unitary,same_type_non_reform,215443.0,11623.0,109605.0,340924.0,26208.0,286813.0,43878.0,0.0,29757.0,11201.0,830577.0,0.0,13852.0,0.0,20273.0,743033.0,768653.0
E06000050,Cheshire West & Chester,UA,control_candidate,none,unitary,same_type_non_reform,225695.0,6323.0,103187.0,280352.0,11105.0,314532.0,37265.0,0.0,16933.0,20082.0,827708.0,0.0,13116.0,0.0,22201.0,788613.0,770439.0
E06000051,Shropshire,UA,control_candidate,none,unitary,same_type_non_reform,195056.0,13819.0,108240.0,255552.0,11046.0,175638.0,52706.0,0.0,17870.0,12376.0,687570.0,20863.0,2622.0,0.0,15677.0,556643.0,625913.0
E06000052,Cornwall,UA,control_candidate,none,unitary,same_type_non_reform,340460.0,16916.0,155434.0,514047.0,11713.0,372625.0,114608.0,35430.0,32432.0,36853.0,1344009.0,0.0,17487.0,0.0,41574.0,1245687.0,1175532.0
E06000053,Isles of Scilly,UA,control_candidate,none,unitary,same_type_non_reform,1601.0,3114.0,680.0,2427.0,384.0,756.0,1398.0,821.0,-268.0,-196.0,8768.0,0.0,166.0,0.0,156.0,8307.0,8612.0
E06000054,Wiltshire,UA,control_candidate,none,unitary,same_type_non_reform,275057.0,11658.0,81146.0,427729.0,20006.0,356495.0,70225.0,0.0,31783.0,19498.0,990644.0,0.0,13064.0,0.0,25758.0,957322.0,904690.0
E06000055,Bedford,UA,control_candidate,none,unitary,same_type_non_reform,95392.0,9611.0,58861.0,133505.0,8288.0,101467.0,18920.0,0.0,10440.0,16984.0,382062.0,0.0,1704.0,0.0,10029.0,325876.0,331696.0
E06000056,Central Bedfordshire,UA,control_candidate,none,unitary,same_type_non_reform,165091.0,6442.0,61331.0,247745.0,4777.0,208208.0,32415.0,0.0,15233.0,7849.0,582587.0,5746.0,9533.0,0.0,16779.0,642941.0,533404.0
E06000057,Northumberland,UA,control_candidate,none,unitary,same_type_non_reform,160138.0,13210.0,85509.0,282559.0,14085.0,244371.0,53671.0,24524.0,11595.0,6939.0,756647.0,0.0,3611.0,0.0,22889.0,767501.0,640542.0
E06000058,"Bournemouth, Christchurch & Poole",UA,control_candidate,none,unitary,same_type_non_reform,198334.0,18671.0,116103.0,307410.0,18695.0,272895.0,46891.0,0.0,7418.0,25600.0,864443.0,15151.0,11914.0,0.0,27485.0,679949.0,759157.0
E06000059,Dorset UA,UA,control_candidate,none,unitary,same_type_non_reform,197724.0,24657.0,101698.0,384110.0,9809.0,241081.0,41886.0,0.0,16507.0,11201.0,786936.0,30087.0,7778.0,0.0,18924.0,755550.0,701352.0
E06000060,Buckinghamshire,UA,control_candidate,none,unitary,same_type_non_reform,271988.0,21469.0,158767.0,503402.0,6571.0,542739.0,51262.0,0.0,39659.0,14905.0,1226393.0,0.0,13332.0,0.0,28949.0,1232380.0,1149641.0
E06000061,North Northamptonshire,UA,treated_majority,majority,unitary,,176453.0,25784.0,97170.0,238532.0,13088.0,245687.0,31903.0,0.0,17412.0,5922.0,739711.0,38680.0,6799.0,0.0,22982.0,686289.0,681880.0
E06000062,West Northamptonshire,UA,treated_majority,majority,unitary,,180967.0,15011.0,120674.0,304469.0,8973.0,284321.0,49309.0,0.0,16475.0,20872.0,837204.0,20993.0,7637.0,0.0,26652.0,783314.0,751884.0
E06000064,Westmorland and Furness,UA,control_candidate,none,unitary,same_type_non_reform,124913.0,16491.0,55841.0,199004.0,8790.0,198578.0,41579.0,0.0,21207.0,5555.0,532739.0,26.0,13980.0,0.0,9988.0,492329.0,496948.0
E06000065,North Yorkshire,UA,control_candidate,none,unitary,same_type_non_reform,338892.0,43505.0,102984.0,538764.0,38333.0,502850.0,106317.0,0.0,31014.0,32085.0,1330658.0,279.0,17121.0,0.0,28528.0,1285007.0,1241908.0
E06000066,Somerset,UA,control_candidate,none,unitary,same_type_non_reform,299781.0,24068.0,172821.0,466611.0,14571.0,387321.0,88805.0,0.0,23527.0,18268.0,1211557.0,11733.0,8635.0,0.0,30140.0,1122746.0,1079670.0
E08,Metropolitan Districts,MD,control_candidate,none,met_borough,same_type_non_reform,6278560.0,703672.0,4209728.0,6920548.0,678338.0,10926186.0,1243466.0,0.0,544235.0,666471.0,30903789.0,214243.0,357420.0,0.0,1212200.0,28845807.0,27034519.0
E08000001,Bolton,MD,control_candidate,none,met_borough,same_type_non_reform,146220.0,12700.0,107191.0,160766.0,11670.0,313495.0,18143.0,0.0,7315.0,14369.0,797752.0,25673.0,5809.0,0.0,23056.0,761244.0,685641.0
E08000002,Bury,MD,control_candidate,none,met_borough,same_type_non_reform,95267.0,8274.0,65701.0,124225.0,6145.0,151459.0,8687.0,0.0,3408.0,8109.0,423735.0,8146.0,2047.0,0.0,13088.0,391729.0,370331.0
E08000003,Manchester,MD,control_candidate,none,met_borough,same_type_non_reform,324691.0,28780.0,228285.0,269792.0,46489.0,506092.0,60473.0,0.0,3143.0,86217.0,1615492.0,0.0,28376.0,0.0,62228.0,1491926.0,1374774.0
E08000004,Oldham,MD,control_candidate,none,met_borough,same_type_non_reform,104817.0,22960.0,101852.0,129643.0,18124.0,203831.0,14069.0,0.0,10651.0,12893.0,603460.0,9697.0,4205.0,0.0,22599.0,567105.0,525698.0
E08000005,Rochdale,MD,control_candidate,none,met_borough,same_type_non_reform,120121.0,18004.0,88203.0,130981.0,11208.0,233218.0,15490.0,0.0,14037.0,9117.0,621461.0,1902.0,6583.0,0.0,18342.0,600206.0,536225.0
E08000006,Salford,MD,control_candidate,none,met_borough,same_type_non_reform,150730.0,20587.0,94784.0,173944.0,14850.0,311915.0,18037.0,0.0,4363.0,15417.0,823578.0,0.0,20606.0,0.0,29378.0,772318.0,680667.0
E08000007,Stockport,MD,control_candidate,none,met_borough,same_type_non_reform,151686.0,6560.0,88867.0,217307.0,13816.0,302942.0,15555.0,0.0,9207.0,6296.0,691374.0,0.0,7687.0,0.0,21503.0,657089.0,624119.0
E08000008,Tameside,MD,control_candidate,none,met_borough,same_type_non_reform,111518.0,11159.0,108160.0,131889.0,10174.0,188878.0,12789.0,0.0,8625.0,9868.0,562174.0,0.0,5723.0,0.0,20704.0,507698.0,487598.0
E08000009,Trafford,MD,control_candidate,none,met_borough,same_type_non_reform,109004.0,23311.0,57992.0,151224.0,9535.0,262583.0,11634.0,0.0,5442.0,6601.0,587884.0,3830.0,-2249.0,0.0,15315.0,527781.0,502998.0
E08000010,Wigan,MD,control_candidate,none,met_borough,same_type_non_reform,152219.0,20715.0,94389.0,171171.0,24323.0,362627.0,33594.0,0.0,6733.0,10937.0,842298.0,1970.0,6884.0,0.0,35228.0,795243.0,749619.0
E08000011,Knowsley,MD,control_candidate,none,met_borough,same_type_non_reform,106661.0,8049.0,79723.0,83409.0,8922.0,179502.0,15492.0,0.0,15818.0,6445.0,554568.0,22532.0,28385.0,0.0,22915.0,497773.0,494444.0
E08000012,Liverpool,MD,control_candidate,none,met_borough,same_type_non_reform,314537.0,30220.0,176574.0,277030.0,44308.0,588688.0,34101.0,0.0,-180.0,69558.0,1621085.0,27367.0,27201.0,0.0,63710.0,1470355.0,1376084.0
E08000013,St Helens,MD,control_candidate,none,met_borough,same_type_non_reform,94063.0,10928.0,72627.0,107188.0,7386.0,181766.0,16488.0,0.0,6952.0,5991.0,487295.0,0.0,5292.0,0.0,20986.0,454630.0,422479.0
E08000014,Sefton,MD,control_candidate,none,met_borough,same_type_non_reform,141959.0,15742.0,98682.0,192691.0,10700.0,233737.0,20283.0,0.0,-5458.0,11475.0,690952.0,302.0,12859.0,0.0,29838.0,631623.0,570119.0
E08000015,Wirral,MD,control_candidate,none,met_borough,same_type_non_reform,188580.0,22596.0,97540.0,209772.0,17681.0,322442.0,22192.0,0.0,10331.0,14210.0,865324.0,10409.0,5739.0,0.0,42663.0,780447.0,754383.0
E08000017,Doncaster,MD,treated_majority,majority,met_borough,,163512.0,13863.0,110008.0,159961.0,16936.0,170615.0,39751.0,0.0,11406.0,10776.0,653913.0,2693.0,10069.0,0.0,38685.0,627527.0,588314.0
E08000018,Rotherham,MD,control_candidate,none,met_borough,same_type_non_reform,146332.0,10172.0,93665.0,148990.0,15070.0,162691.0,26557.0,0.0,9942.0,7534.0,564033.0,0.0,7533.0,0.0,22683.0,546265.0,502179.0
E08000021,Newcastle upon Tyne,MD,control_candidate,none,met_borough,same_type_non_reform,194207.0,11194.0,82896.0,164760.0,12836.0,256332.0,39911.0,0.0,639.0,10752.0,749857.0,88.0,3809.0,0.0,36332.0,684495.0,648996.0
E08000022,North Tyneside,MD,control_candidate,none,met_borough,same_type_non_reform,101097.0,9889.0,70664.0,140191.0,18987.0,244511.0,25691.0,0.0,8039.0,5961.0,565245.0,0.0,1888.0,0.0,14530.0,523526.0,501257.0
E08000023,South Tyneside,MD,control_candidate,none,met_borough,same_type_non_reform,91362.0,11246.0,56779.0,83883.0,8531.0,168752.0,15322.0,0.0,8345.0,3631.0,426417.0,-489.0,2916.0,0.0,19379.0,414275.0,385774.0
E08000024,Sunderland,MD,control_candidate,none,met_borough,same_type_non_reform,159786.0,26127.0,93022.0,145008.0,12025.0,169394.0,44751.0,0.0,15961.0,12482.0,654492.0,2888.0,12201.0,0.0,32030.0,635323.0,580667.0
E08000025,Birmingham,MD,control_candidate,none,met_borough,same_type_non_reform,573142.0,30292.0,410088.0,560016.0,55806.0,1117292.0,131081.0,0.0,161402.0,84164.0,3411799.0,0.0,-3212.0,0.0,140427.0,2970775.0,2700482.0
E08000028,Sandwell,MD,control_candidate,none,met_borough,same_type_non_reform,184270.0,20758.0,111799.0,156663.0,14520.0,360232.0,48374.0,0.0,11213.0,18557.0,929810.0,11581.0,22696.0,0.0,36345.0,877708.0,840345.0
E08000029,Solihull,MD,control_candidate,none,met_borough,same_type_non_reform,108264.0,8187.0,77325.0,150954.0,4194.0,164560.0,22264.0,0.0,10837.0,6707.0,458103.0,78.0,306.0,0.0,16820.0,441666.0,419542.0
E08000030,Walsall,MD,control_candidate,none,met_borough,same_type_non_reform,155537.0,21273.0,120997.0,174751.0,15130.0,245233.0,30023.0,0.0,21373.0,13205.0,739880.0,21521.0,11716.0,0.0,23654.0,683141.0,679662.0
E08000031,Wolverhampton,MD,control_candidate,none,met_borough,same_type_non_reform,147359.0,13956.0,97830.0,149600.0,17851.0,203451.0,26916.0,0.0,10109.0,14280.0,660757.0,24209.0,5195.0,0.0,30244.0,640109.0,591400.0
E08000032,Bradford,MD,control_candidate,none,met_borough,same_type_non_reform,215390.0,40552.0,251082.0,295927.0,22306.0,427652.0,57448.0,0.0,8578.0,24971.0,1299549.0,52192.0,19689.0,0.0,59121.0,1166290.0,1178981.0
E08000033,Calderdale,MD,control_candidate,none,met_borough,same_type_non_reform,105855.0,13307.0,63701.0,136885.0,15310.0,186460.0,27108.0,0.0,7709.0,6167.0,497688.0,0.0,6483.0,0.0,17218.0,473201.0,449318.0
E08000034,Kirklees,MD,control_candidate,none,met_borough,same_type_non_reform,197686.0,22101.0,96688.0,269094.0,19629.0,376992.0,45272.0,0.0,5335.0,20012.0,905027.0,10445.0,5444.0,0.0,34970.0,894063.0,834574.0
E08000035,Leeds,MD,control_candidate,none,met_borough,same_type_non_reform,366008.0,46556.0,241977.0,477899.0,65706.0,780857.0,102610.0,0.0,25462.0,37287.0,1891101.0,-31389.0,13372.0,0.0,66210.0,1828045.0,1714656.0
E08000036,Wakefield,MD,control_candidate,none,met_borough,same_type_non_reform,170214.0,32895.0,101931.0,208133.0,24173.0,244283.0,55292.0,0.0,13738.0,13846.0,785654.0,0.0,8674.0,0.0,38482.0,757416.0,703528.0
E08000037,Gateshead,MD,control_candidate,none,met_borough,same_type_non_reform,112604.0,14419.0,69238.0,132050.0,17806.0,170489.0,19600.0,0.0,6920.0,6507.0,518703.0,8598.0,7263.0,0.0,22507.0,505707.0,455951.0
E08000038,Barnsley,MD,control_candidate,none,met_borough,same_type_non_reform,106686.0,7491.0,102842.0,133152.0,13404.0,168658.0,35507.0,0.0,3064.0,10140.0,528164.0,0.0,11359.0,0.0,25913.0,535903.0,485064.0
E08000039,Sheffield,MD,control_candidate,none,met_borough,same_type_non_reform,340829.0,36034.0,171508.0,320208.0,27478.0,413674.0,70021.0,0.0,72016.0,35775.0,1354422.0,0.0,23612.0,0.0,47441.0,1276670.0,1238388.0
E10,Shire Counties,SC,control_candidate,none,shire_county,clean_2025_shire_county,9511140.0,363968.0,4924275.0,12999511.0,313298.0,15674620.0,1237123.0,376237.0,1279429.0,61340.0,35280454.0,124915.0,154291.0,68.0,1146446.0,35282082.0,35167150.0
E10000003,Cambridgeshire,SC,control_candidate,none,shire_county,clean_2025_shire_county,301712.0,6172.0,121862.0,449060.0,5858.0,495860.0,59319.0,0.0,28964.0,12135.0,1079513.0,0.0,243.0,0.0,36596.0,1117043.0,1068721.0
E10000007,Derbyshire,SC,treated_majority,majority,shire_county,,394828.0,27475.0,188840.0,462490.0,11484.0,723327.0,53580.0,0.0,24974.0,2300.0,1504665.0,0.0,2799.0,0.0,59157.0,1459779.0,1488764.0
E10000008,Devon,SC,control_candidate,none,shire_county,clean_2025_shire_county,425661.0,11520.0,231812.0,610260.0,11477.0,591063.0,47800.0,0.0,72054.0,525.0,1451958.0,0.0,20244.0,0.0,38454.0,1607719.0,1450610.0
E10000011,East Sussex,SC,second_wave_or_postponed,varies_2026,shire_county,postponed_2026,370180.0,13401.0,173410.0,420764.0,8426.0,381299.0,46509.0,0.0,41671.0,2248.0,1077915.0,0.0,1711.0,0.0,37732.0,1037848.0,1076587.0
E10000012,Essex,SC,second_wave_or_postponed,varies_2026,shire_county,postponed_2026,768104.0,34248.0,294152.0,936800.0,28681.0,999534.0,98406.0,0.0,97013.0,1284.0,2429734.0,0.0,9344.0,0.0,97389.0,2483086.0,2428155.0
E10000013,Gloucestershire,SC,control_candidate,none,shire_county,clean_2025_shire_county,271653.0,12277.0,197562.0,442369.0,7978.0,546363.0,45325.0,34122.0,63125.0,3989.0,1219060.0,0.0,3367.0,68.0,33231.0,1173947.0,1219060.0
E10000014,Hampshire,SC,second_wave_or_postponed,varies_2026,shire_county,postponed_2026,705324.0,8663.0,374062.0,929517.0,21768.0,1463399.0,81487.0,0.0,79810.0,31.0,2810518.0,-2344.0,3847.0,0.0,71854.0,2875621.0,2807901.0
E10000015,Hertfordshire,SC,control_candidate,none,shire_county,clean_2025_shire_county,588680.0,11687.0,271424.0,877270.0,20123.0,1158232.0,59764.0,52339.0,92552.0,7193.0,2338000.0,1722.0,4502.0,0.0,67350.0,2366836.0,2335568.0
E10000016,Kent,SC,treated_majority,majority,shire_county,,834254.0,61420.0,433499.0,1041353.0,29534.0,1449286.0,101543.0,0.0,110620.0,6196.0,3123623.0,0.0,10514.0,0.0,96053.0,3046893.0,3132919.0
E10000017,Lancashire,SC,treated_majority,majority,shire_county,,683126.0,53731.0,325214.0,717078.0,22527.0,1409030.0,92971.0,0.0,57581.0,0.0,2760078.0,0.0,13287.0,0.0,101965.0,2826392.0,2759432.0
E10000018,Leicestershire,SC,treated_minority,minority,shire_county,,292631.0,13140.0,179979.0,441557.0,10611.0,480408.0,43716.0,0.0,56007.0,588.0,1152777.0,35726.0,5080.0,0.0,34891.0,1116593.0,1152777.0
E10000019,Lincolnshire,SC,treated_majority,majority,shire_county,,349494.0,10520.0,179420.0,423127.0,11359.0,540906.0,41313.0,42783.0,74958.0,4373.0,1308896.0,0.0,9083.0,0.0,44953.0,1350464.0,1309162.0
E10000020,Norfolk,SC,second_wave_or_postponed,varies_2026,shire_county,postponed_2026,476581.0,19798.0,244714.0,606514.0,17209.0,657995.0,59006.0,47343.0,47685.0,5120.0,1686027.0,33265.0,17803.0,0.0,57038.0,1763859.0,1683557.0
E10000024,Nottinghamshire,SC,treated_majority,majority,shire_county,,435522.0,2629.0,236752.0,537715.0,13930.0,560021.0,43594.0,0.0,22521.0,-26.0,1428517.0,19956.0,13836.0,0.0,58728.0,1456835.0,1407463.0
E10000025,Oxfordshire,SC,control_candidate,none,shire_county,clean_2025_shire_county,321718.0,14013.0,199403.0,567372.0,14425.0,517354.0,40199.0,33467.0,48407.0,4005.0,1241144.0,0.0,4912.0,0.0,42431.0,1180564.0,1240334.0
E10000028,Staffordshire,SC,treated_majority,majority,shire_county,,378325.0,8104.0,248510.0,511125.0,12784.0,527063.0,52050.0,0.0,75285.0,0.0,1359724.0,0.0,7166.0,0.0,51371.0,1384526.0,1360658.0
