opposition_lead,time_to_election,parliament,opposition_won
-0.0339767139822114,121,1955-1959,Opposition lost
-0.0338980298778255,122,1955-1959,Opposition lost
-0.033818565084112,123,1955-1959,Opposition lost
-0.0337383196409588,124,1955-1959,Opposition lost
-0.0336572935934033,125,1955-1959,Opposition lost
-0.0335754870207369,126,1955-1959,Opposition lost
-0.0334929000090134,127,1955-1959,Opposition lost
-0.0334095326417719,128,1955-1959,Opposition lost
-0.0333253850000176,129,1955-1959,Opposition lost
-0.0332404571622355,130,1955-1959,Opposition lost
-0.0331547492044456,131,1955-1959,Opposition lost
-0.0330682612001762,132,1955-1959,Opposition lost
-0.0329809932204872,133,1955-1959,Opposition lost
-0.0328929453340205,134,1955-1959,Opposition lost
-0.0328041176069803,135,1955-1959,Opposition lost
-0.0327145101031736,136,1955-1959,Opposition lost
-0.0326241228840225,137,1955-1959,Opposition lost
-0.0325329560085891,138,1955-1959,Opposition lost
-0.0324410095335789,139,1955-1959,Opposition lost
-0.032348283513399,140,1955-1959,Opposition lost
-0.0322547780001317,141,1955-1959,Opposition lost
-0.0321604930436022,142,1955-1959,Opposition lost
-0.0320654286913675,143,1955-1959,Opposition lost
-0.0319695849887584,144,1955-1959,Opposition lost
-0.0318729619789007,145,1955-1959,Opposition lost
-0.0317755597027405,146,1955-1959,Opposition lost
-0.0316773781990668,147,1955-1959,Opposition lost
-0.0315784175045421,148,1955-1959,Opposition lost
-0.0314786776537207,149,1955-1959,Opposition lost
-0.0313781586790977,150,1955-1959,Opposition lost
-0.0312768606111189,151,1955-1959,Opposition lost
-0.031174783478206,152,1955-1959,Opposition lost
-0.0310719273068176,153,1955-1959,Opposition lost
-0.0309682921214455,154,1955-1959,Opposition lost
-0.0308638779446598,155,1955-1959,Opposition lost
-0.0307586847971638,156,1955-1959,Opposition lost
-0.0306527126977851,157,1955-1959,Opposition lost
-0.0305459616635538,158,1955-1959,Opposition lost
-0.0304384317097058,159,1955-1959,Opposition lost
-0.0303301228497447,160,1955-1959,Opposition lost
-0.0302210350954552,161,1955-1959,Opposition lost
-0.0301111684569651,162,1955-1959,Opposition lost
-0.0300005229427745,163,1955-1959,Opposition lost
-0.0298890985597956,164,1955-1959,Opposition lost
-0.0297768953134006,165,1955-1959,Opposition lost
-0.0296639132074553,166,1955-1959,Opposition lost
-0.0295501522443783,167,1955-1959,Opposition lost
-0.0294356124251716,168,1955-1959,Opposition lost
-0.0293202937494781,169,1955-1959,Opposition lost
-0.0292041962156227,170,1955-1959,Opposition lost
-0.0290873198206711,171,1955-1959,Opposition lost
-0.0289696645604717,172,1955-1959,Opposition lost
-0.0288512304296962,173,1955-1959,Opposition lost
-0.0287320174219312,174,1955-1959,Opposition lost
-0.0286120255296982,175,1955-1959,Opposition lost
-0.0284912547445102,176,1955-1959,Opposition lost
-0.0283697050569506,177,1955-1959,Opposition lost
-0.0282473764567124,178,1955-1959,Opposition lost
-0.0281242689326808,179,1955-1959,Opposition lost
-0.0280003824729602,180,1955-1959,Opposition lost
-0.0278757170649792,181,1955-1959,Opposition lost
-0.027750272724914,182,1955-1959,Opposition lost
-0.0276240495874257,183,1955-1959,Opposition lost
-0.0274970478199627,184,1955-1959,Opposition lost
-0.0273692675938241,185,1955-1959,Opposition lost
-0.0272407090842325,186,1955-1959,Opposition lost
-0.0271113724704039,187,1955-1959,Opposition lost
-0.0269812579356331,188,1955-1959,Opposition lost
-0.0268503656673833,189,1955-1959,Opposition lost
-0.02671869585735,190,1955-1959,Opposition lost
-0.0265862487015626,191,1955-1959,Opposition lost
-0.0264530244004882,192,1955-1959,Opposition lost
-0.0263190231590813,193,1955-1959,Opposition lost
-0.0261842451869083,194,1955-1959,Opposition lost
-0.0260486906982245,195,1955-1959,Opposition lost
-0.0259123599120815,196,1955-1959,Opposition lost
-0.0257752530524098,197,1955-1959,Opposition lost
-0.0256373703481425,198,1955-1959,Opposition lost
-0.0254987120332957,199,1955-1959,Opposition lost
-0.0253592783470738,200,1955-1959,Opposition lost
-0.0252190695339853,201,1955-1959,Opposition lost
-0.0250780858439545,202,1955-1959,Opposition lost
-0.0249363275324239,203,1955-1959,Opposition lost
-0.0247937948604602,204,1955-1959,Opposition lost
-0.0246504880948976,205,1955-1959,Opposition lost
-0.0245064075084278,206,1955-1959,Opposition lost
-0.0243615533797329,207,1955-1959,Opposition lost
-0.0242159259936114,208,1955-1959,Opposition lost
-0.0240695256410956,209,1955-1959,Opposition lost
-0.0239223526154543,210,1955-1959,Opposition lost
-0.023774407199653,211,1955-1959,Opposition lost
-0.0236256896782459,212,1955-1959,Opposition lost
-0.0234762003415891,213,1955-1959,Opposition lost
-0.0233259394859474,214,1955-1959,Opposition lost
-0.0231749074136176,215,1955-1959,Opposition lost
-0.0230231044330478,216,1955-1959,Opposition lost
-0.0228705308589906,217,1955-1959,Opposition lost
-0.0227171870126104,218,1955-1959,Opposition lost
-0.0225630732216429,219,1955-1959,Opposition lost
-0.0224081898205025,220,1955-1959,Opposition lost
-0.0222525371504559,221,1955-1959,Opposition lost
-0.0220961155597625,222,1955-1959,Opposition lost
-0.0219389254038006,223,1955-1959,Opposition lost
-0.0217809670452439,224,1955-1959,Opposition lost
-0.0216222408542127,225,1955-1959,Opposition lost
-0.0214627472084,226,1955-1959,Opposition lost
-0.0213024864932975,227,1955-1959,Opposition lost
-0.0211414591023048,228,1955-1959,Opposition lost
-0.0209796654369297,229,1955-1959,Opposition lost
-0.0208171059069304,230,1955-1959,Opposition lost
-0.0206537809305415,231,1955-1959,Opposition lost
-0.020489690934612,232,1955-1959,Opposition lost
-0.0203248363548204,233,1955-1959,Opposition lost
-0.020159217635824,234,1955-1959,Opposition lost
-0.0199928352314997,235,1955-1959,Opposition lost
-0.0198256896051136,236,1955-1959,Opposition lost
-0.019657781229538,237,1955-1959,Opposition lost
-0.0194891105874417,238,1955-1959,Opposition lost
-0.0193196781715091,239,1955-1959,Opposition lost
-0.0191494844846609,240,1955-1959,Opposition lost
-0.0189785300402673,241,1955-1959,Opposition lost
-0.0188068153623838,242,1955-1959,Opposition lost
-0.018634340985959,243,1955-1959,Opposition lost
-0.0184611074571007,244,1955-1959,Opposition lost
-0.0182871153332966,245,1955-1959,Opposition lost
-0.0181123651836573,246,1955-1959,Opposition lost
-0.0179368575891796,247,1955-1959,Opposition lost
-0.0177605931429977,248,1955-1959,Opposition lost
-0.0175835724506366,249,1955-1959,Opposition lost
-0.0174057961302985,250,1955-1959,Opposition lost
-0.0172272648131214,251,1955-1959,Opposition lost
-0.0170479791434471,252,1955-1959,Opposition lost
-0.0168679397791467,253,1955-1959,Opposition lost
-0.0166871473918605,254,1955-1959,Opposition lost
-0.0165056026673417,255,1955-1959,Opposition lost
-0.0163233063057246,256,1955-1959,Opposition lost
-0.016140259021844,257,1955-1959,Opposition lost
-0.0159564615584385,258,1955-1959,Opposition lost
-0.015771914725356,259,1955-1959,Opposition lost
-0.0155866193617904,260,1955-1959,Opposition lost
-0.0154005763238267,261,1955-1959,Opposition lost
-0.0152137864847652,262,1955-1959,Opposition lost
-0.0150262507354708,263,1955-1959,Opposition lost
-0.014837969984682,264,1955-1959,Opposition lost
-0.0146489451593944,265,1955-1959,Opposition lost
-0.0144591772051985,266,1955-1959,Opposition lost
-0.0142686670866455,267,1955-1959,Opposition lost
-0.0140774157876523,268,1955-1959,Opposition lost
-0.0138854243118187,269,1955-1959,Opposition lost
-0.0136926936828838,270,1955-1959,Opposition lost
-0.0134992249450552,271,1955-1959,Opposition lost
-0.0133050191748295,272,1955-1959,Opposition lost
-0.0131100775154459,273,1955-1959,Opposition lost
-0.0129144011432466,274,1955-1959,Opposition lost
-0.0127179912567728,275,1955-1959,Opposition lost
-0.0125208490771029,276,1955-1959,Opposition lost
-0.0123229758482906,277,1955-1959,Opposition lost
-0.0121243728377632,278,1955-1959,Opposition lost
-0.0119250413367454,279,1955-1959,Opposition lost
-0.0117249826606798,280,1955-1959,Opposition lost
-0.0115241981496623,281,1955-1959,Opposition lost
-0.0113226891688679,282,1955-1959,Opposition lost
-0.0111204571090539,283,1955-1959,Opposition lost
-0.0109175033869494,284,1955-1959,Opposition lost
-0.0107138294457773,285,1955-1959,Opposition lost
-0.0105094367556838,286,1955-1959,Opposition lost
-0.0103043268142827,287,1955-1959,Opposition lost
-0.0100985011470914,288,1955-1959,Opposition lost
-0.0098919613080544,289,1955-1959,Opposition lost
-0.0096847088800533,290,1955-1959,Opposition lost
-0.0094767454754217,291,1955-1959,Opposition lost
-0.0092680727364926,292,1955-1959,Opposition lost
-0.0090586923360898,293,1955-1959,Opposition lost
-0.0088486059781329,294,1955-1959,Opposition lost
-0.0086378153981255,295,1955-1959,Opposition lost
-0.0084263223637693,296,1955-1959,Opposition lost
-0.0082141286755001,297,1955-1959,Opposition lost
-0.0080012361670923,298,1955-1959,Opposition lost
-0.0077876467062406,299,1955-1959,Opposition lost
-0.0075733621951201,300,1955-1959,Opposition lost
-0.0073583845710504,301,1955-1959,Opposition lost
-0.0071427158070628,302,1955-1959,Opposition lost
-0.0069263579125323,303,1955-1959,Opposition lost
-0.0067093129338161,304,1955-1959,Opposition lost
-0.0064915829548781,305,1955-1959,Opposition lost
-0.0062731700979134,306,1955-1959,Opposition lost
-0.0060540764583238,307,1955-1959,Opposition lost
-0.0058343039046069,308,1955-1959,Opposition lost
-0.0056138542697933,309,1955-1959,Opposition lost
-0.0053927294166898,310,1955-1959,Opposition lost
-0.0051709312383969,311,1955-1959,Opposition lost
-0.0049484616587486,312,1955-1959,Opposition lost
-0.0047253226327862,313,1955-1959,Opposition lost
-0.0045015161472738,314,1955-1959,Opposition lost
-0.0042770442210979,315,1955-1959,Opposition lost
-0.0040519089057844,316,1955-1959,Opposition lost
-0.0038261122859687,317,1955-1959,Opposition lost
-0.0035996564798097,318,1955-1959,Opposition lost
-0.0033725436395141,319,1955-1959,Opposition lost
-0.0031447759517232,320,1955-1959,Opposition lost
-0.0029163556380134,321,1955-1959,Opposition lost
-0.0026872849553057,322,1955-1959,Opposition lost
-0.0024575661962867,323,1955-1959,Opposition lost
-0.0022272016898534,324,1955-1959,Opposition lost
-0.0019961938015111,325,1955-1959,Opposition lost
-0.0017645449337406,326,1955-1959,Opposition lost
-0.0015322575264352,327,1955-1959,Opposition lost
-0.0012993340571699,328,1955-1959,Opposition lost
-0.0010657770416629,329,1955-1959,Opposition lost
-0.0008315890339604,330,1955-1959,Opposition lost
-0.0005967726268609,331,1955-1959,Opposition lost
-0.0003613304521,332,1955-1959,Opposition lost
-0.0001252651806163,333,1955-1959,Opposition lost
0.0001114204772136,334,1955-1959,Opposition lost
0.0003487237714448,335,1955-1959,Opposition lost
0.0005866419123953,336,1955-1959,Opposition lost
0.0008251720705572,337,1955-1959,Opposition lost
0.0010643113765284,338,1955-1959,Opposition lost
0.0013040569211074,339,1955-1959,Opposition lost
0.0015444057551739,340,1955-1959,Opposition lost
0.0017853548899831,341,1955-1959,Opposition lost
0.0020269012972396,342,1955-1959,Opposition lost
0.0022690419093612,343,1955-1959,Opposition lost
0.0025117736198191,344,1955-1959,Opposition lost
0.0027550932835494,345,1955-1959,Opposition lost
0.002998997717429,346,1955-1959,Opposition lost
0.0032434837008903,347,1955-1959,Opposition lost
0.0034885479766081,348,1955-1959,Opposition lost
0.0037341872512796,349,1955-1959,Opposition lost
0.0039803981966388,350,1955-1959,Opposition lost
0.0042271774504661,351,1955-1959,Opposition lost
0.0044745216177932,352,1955-1959,Opposition lost
0.0047224272723098,353,1955-1959,Opposition lost
0.0049708909578775,354,1955-1959,Opposition lost
0.0052199091902566,355,1955-1959,Opposition lost
0.0054694784590104,356,1955-1959,Opposition lost
0.005719595229646,357,1955-1959,Opposition lost
0.0059702559459767,358,1955-1959,Opposition lost
0.0062214570327074,359,1955-1959,Opposition lost
0.0064731948983434,360,1955-1959,Opposition lost
0.0067254659383053,361,1955-1959,Opposition lost
0.0069782665384773,362,1955-1959,Opposition lost
0.0072315930789523,363,1955-1959,Opposition lost
0.0074854420618724,364,1955-1959,Opposition lost
0.0077398104934016,365,1955-1959,Opposition lost
0.0079946955297198,366,1955-1959,Opposition lost
0.0082500943609835,367,1955-1959,Opposition lost
0.0085060042176561,368,1955-1959,Opposition lost
0.0087624223775097,369,1955-1959,Opposition lost
0.0090193461731407,370,1955-1959,Opposition lost
0.0092767730001556,371,1955-1959,Opposition lost
0.009534700326044,372,1955-1959,Opposition lost
0.0097931256998518,373,1955-1959,Opposition lost
0.010052046762609,374,1955-1959,Opposition lost
0.010311461258695,375,1955-1959,Opposition lost
0.010571367048122,376,1955-1959,Opposition lost
0.0108317621198486,377,1955-1959,Opposition lost
0.0110926446063265,378,1955-1959,Opposition lost
0.0113540127991121,379,1955-1959,Opposition lost
0.0116158651659107,380,1955-1959,Opposition lost
0.011878200369034,381,1955-1959,Opposition lost
0.0121410172854156,382,1955-1959,Opposition lost
0.012404315028311,383,1955-1959,Opposition lost
0.0126680929708873,384,1955-1959,Opposition lost
0.0129323508709595,385,1955-1959,Opposition lost
0.0131970892031396,386,1955-1959,Opposition lost
0.0134623089035126,387,1955-1959,Opposition lost
0.0137280113053446,388,1955-1959,Opposition lost
0.0139941981752074,389,1955-1959,Opposition lost
0.0142608717521577,390,1955-1959,Opposition lost
0.0145280347903332,391,1955-1959,Opposition lost
0.0147956906051073,392,1955-1959,Opposition lost
0.0150638431234212,393,1955-1959,Opposition lost
0.0153324969383499,394,1955-1959,Opposition lost
0.0156016573684956,395,1955-1959,Opposition lost
0.015871330522571,396,1955-1959,Opposition lost
0.0161415233697032,397,1955-1959,Opposition lost
0.0164122438158842,398,1955-1959,Opposition lost
0.0166835007872611,399,1955-1959,Opposition lost
0.0169553043207903,400,1955-1959,Opposition lost
0.0172276656629605,401,1955-1959,Opposition lost
0.0175005973773141,402,1955-1959,Opposition lost
0.0177741134616151,403,1955-1959,Opposition lost
0.0180482294754067,404,1955-1959,Opposition lost
0.0183229626789965,405,1955-1959,Opposition lost
0.0185983321847843,406,1955-1959,Opposition lost
0.0188743591219981,407,1955-1959,Opposition lost
0.0191510668159596,408,1955-1959,Opposition lost
0.019428480983033,409,1955-1959,Opposition lost
0.0197066299424077,410,1955-1959,Opposition lost
0.019985544846026,411,1955-1959,Opposition lost
0.020265259927744,412,1955-1959,Opposition lost
0.020545812772917,413,1955-1959,Opposition lost
0.0208272446095027,414,1955-1959,Opposition lost
0.021109600621455,415,1955-1959,Opposition lost
0.0213929302850154,416,1955-1959,Opposition lost
0.0216772877281494,417,1955-1959,Opposition lost
0.0219627321125273,418,1955-1959,Opposition lost
0.0222493280369883,419,1955-1959,Opposition lost
0.02253714596007,420,1955-1959,Opposition lost
0.0228262626377338,421,1955-1959,Opposition lost
0.0231167615705342,422,1955-1959,Opposition lost
0.0234087334518533,423,1955-1959,Opposition lost
0.0237022766054401,424,1955-1959,Opposition lost
0.0239974973962406,425,1955-1959,Opposition lost
0.0242945105929532,426,1955-1959,Opposition lost
0.0245934396538701,427,1955-1959,Opposition lost
0.0248944168988831,428,1955-1959,Opposition lost
0.0251975835197338,429,1955-1959,Opposition lost
0.0255030893677173,430,1955-1959,Opposition lost
0.0258110924423433,431,1955-1959,Opposition lost
0.0261217579861541,432,1955-1959,Opposition lost
0.0264352570702838,433,1955-1959,Opposition lost
0.0267517646897214,434,1955-1959,Opposition lost
0.0270714573796224,435,1955-1959,Opposition lost
0.0273945089081144,436,1955-1959,Opposition lost
0.027721085071109,437,1955-1959,Opposition lost
0.0280513372452146,438,1955-1959,Opposition lost
0.0283853943566365,439,1955-1959,Opposition lost
0.02872335312543,440,1955-1959,Opposition lost
0.0290652665400583,441,1955-1959,Opposition lost
0.0294111306793188,442,1955-1959,Opposition lost
0.0297608702478063,443,1955-1959,Opposition lost
0.0301143235441662,444,1955-1959,Opposition lost
0.0304712280486523,445,1955-1959,Opposition lost
0.0308312083864415,446,1955-1959,Opposition lost
0.031193769054917,447,1955-1959,Opposition lost
0.0315582949101617,448,1955-1959,Opposition lost
0.0319240628524002,449,1955-1959,Opposition lost
0.0322902682500599,450,1955-1959,Opposition lost
0.0326560692035228,451,1955-1959,Opposition lost
0.0330206506299311,452,1955-1959,Opposition lost
0.0333833083529214,453,1955-1959,Opposition lost
0.0337435511465975,454,1955-1959,Opposition lost
0.0341012165539211,455,1955-1959,Opposition lost
0.0344749074083679,456,1955-1959,Opposition lost
0.0348466790964838,457,1955-1959,Opposition lost
0.0352166596244384,458,1955-1959,Opposition lost
0.0355849501583703,459,1955-1959,Opposition lost
0.0359516289163064,460,1955-1959,Opposition lost
0.0363167545771015,461,1955-1959,Opposition lost
0.0366803692719493,462,1955-1959,Opposition lost
0.0370425012123861,463,1955-1959,Opposition lost
0.0374031669993753,464,1955-1959,Opposition lost
0.0377623736508744,465,1955-1959,Opposition lost
0.0381201203797206,466,1955-1959,Opposition lost
0.0384764001491375,467,1955-1959,Opposition lost
0.038831201029632,468,1955-1959,Opposition lost
0.0391843559167504,469,1955-1959,Opposition lost
0.0395614732909163,470,1955-1959,Opposition lost
0.0399343957234465,471,1955-1959,Opposition lost
0.0402885111705663,472,1955-1959,Opposition lost
0.0406411367589178,473,1955-1959,Opposition lost
0.0409922977299478,474,1955-1959,Opposition lost
0.041342001934207,475,1955-1959,Opposition lost
0.0416902430459954,476,1955-1959,Opposition lost
0.0420370034487397,477,1955-1959,Opposition lost
0.0423822566876331,478,1955-1959,Opposition lost
0.0427259696479873,479,1955-1959,Opposition lost
0.0430681044753435,480,1955-1959,Opposition lost
0.0434086202448419,481,1955-1959,Opposition lost
0.0437474744007638,482,1955-1959,Opposition lost
0.0440846239857377,483,1955-1959,Opposition lost
0.0444200266778297,484,1955-1959,Opposition lost
0.0447536416526268,485,1955-1959,Opposition lost
0.0450854302869553,486,1955-1959,Opposition lost
0.0454153567197788,487,1955-1959,Opposition lost
0.0457433882855293,488,1955-1959,Opposition lost
0.0460694958340454,489,1955-1959,Opposition lost
0.046393653950884,490,1955-1959,Opposition lost
0.0467158410906928,491,1955-1959,Opposition lost
0.0470360396357597,492,1955-1959,Opposition lost
0.0473542358907794,493,1955-1959,Opposition lost
0.04767042002416,494,1955-1959,Opposition lost
0.0479845859651815,495,1955-1959,Opposition lost
0.0482967312655195,496,1955-1959,Opposition lost
0.0486068568109484,497,1955-1959,Opposition lost
0.0489149662801898,498,1955-1959,Opposition lost
0.0492210663270344,499,1955-1959,Opposition lost
0.0495251664901558,500,1955-1959,Opposition lost
0.0498272789723027,501,1955-1959,Opposition lost
0.0501270610637615,502,1955-1959,Opposition lost
0.0504253853641115,503,1955-1959,Opposition lost
0.0507221586184923,504,1955-1959,Opposition lost
0.0510176194274386,505,1955-1959,Opposition lost
0.0513119781929849,506,1955-1959,Opposition lost
0.0516054195111184,507,1955-1959,Opposition lost
0.0518981043225001,508,1955-1959,Opposition lost
0.0521901718620001,509,1955-1959,Opposition lost
0.0524817414396011,510,1955-1959,Opposition lost
0.0527729140788946,511,1955-1959,Opposition lost
0.0530637740341693,512,1955-1959,Opposition lost
0.0533543902025885,513,1955-1959,Opposition lost
0.0536448174446459,514,1955-1959,Opposition lost
0.0539350978230883,515,1955-1959,Opposition lost
0.0542252617683012,516,1955-1959,Opposition lost
0.0545153291761554,517,1955-1959,Opposition lost
0.0548053104431849,518,1955-1959,Opposition lost
0.0550952074424427,519,1955-1959,Opposition lost
0.0553850144429272,520,1955-1959,Opposition lost
0.055674718974625,521,1955-1959,Opposition lost
0.0559643026408793,522,1955-1959,Opposition lost
0.0563027153467133,523,1955-1959,Opposition lost
0.0565916083594815,524,1955-1959,Opposition lost
0.0568808684519389,525,1955-1959,Opposition lost
0.0571701299915315,526,1955-1959,Opposition lost
0.0574594463891746,527,1955-1959,Opposition lost
0.0577484080692008,528,1955-1959,Opposition lost
0.058079576277343,529,1955-1959,Opposition lost
0.0583691842543142,530,1955-1959,Opposition lost
0.0586591398591393,531,1955-1959,Opposition lost
0.0589495254198991,532,1955-1959,Opposition lost
0.0592404002401556,533,1955-1959,Opposition lost
0.059531802789605,534,1955-1959,Opposition lost
0.0598233062317594,535,1955-1959,Opposition lost
0.0601158365657514,536,1955-1959,Opposition lost
0.060408960468436,537,1955-1959,Opposition lost
0.0607026744969161,538,1955-1959,Opposition lost
0.0609969596356665,539,1955-1959,Opposition lost
0.0612917834952244,540,1955-1959,Opposition lost
0.0615871021393893,541,1955-1959,Opposition lost
0.0618828616775042,542,1955-1959,Opposition lost
0.0621789997474652,543,1955-1959,Opposition lost
0.0624754468917671,544,1955-1959,Opposition lost
0.0627721278290233,545,1955-1959,Opposition lost
0.0630689626234904,546,1955-1959,Opposition lost
0.0633658677554321,547,1955-1959,Opposition lost
0.0636627570955223,548,1955-1959,Opposition lost
0.0639595427866556,549,1955-1959,Opposition lost
0.0642561360369637,550,1955-1959,Opposition lost
0.064552447828128,551,1955-1959,Opposition lost
0.0648483895431903,552,1955-1959,Opposition lost
0.0651438735183593,553,1955-1959,Opposition lost
0.0654388135234902,554,1955-1959,Opposition lost
0.0657331251758517,555,1955-1959,Opposition lost
0.066026726291973,556,1955-1959,Opposition lost
0.0663195371822754,557,1955-1959,Opposition lost
0.0666114808931579,558,1955-1959,Opposition lost
0.066902483401097,559,1955-1959,Opposition lost
0.0671924737631913,560,1955-1959,Opposition lost
0.0674813842284009,561,1955-1959,Opposition lost
0.0677691503135815,562,1955-1959,Opposition lost
0.0680557108481245,563,1955-1959,Opposition lost
0.0683410079909152,564,1955-1959,Opposition lost
0.0686249872229527,565,1955-1959,Opposition lost
0.0689075973188542,566,1955-1959,Opposition lost
0.0691882210811928,567,1955-1959,Opposition lost
0.0694680025161019,568,1955-1959,Opposition lost
0.0697463612848827,569,1955-1959,Opposition lost
